syllabification,corrSyl,corrAns,keyCVC,keyCV,Condition
balada,ba,2.0,bal,ba,D
paloma,pa,2.0,pal,pa,D
bolero,bo,2.0,bol,bo,D
volante,vo,2.0,vol,vo,D
culebra,cu,2.0,cul,cu,D
garaje,ga,2.0,gar,ga,D
cereza,ce,2.0,cer,ce,D
pereza,pe,2.0,per,pe,D
coraje,co,2.0,cor,co,D
corona,co,2.0,cor,co,D
joroba,jo,2.0,jor,jo,D
morera,mo,2.0,mor,mo,D
murmullo,mur,1.0,mur,mu,D
centavo,cen,1.0,cen,ce,D
linterna,lin,1.0,lin,li,D
montaña,mon,1.0,mon,mo,D
campana,cam,1.0,cam,ca,D
limpieza,lim,1.0,lim,li,D
castillo,cas,1.0,cas,ca,D
pestaña,pes,1.0,pes,pe,D
costilla,cos,1.0,cos,co,D
rosquilla,ros,1.0,ros,ro,D
ganchillo,gan,1.0,gan,ga,D
pastilla,pas,1.0,pas,pa,D
